"method","status","oos","n_fit","n_source","n_calibration","n_test","n_classes_train","n_classes_test","unseen_fraction","oa","macro_f1","miou","rare_recall","ece","ece_uncalibrated","seen_oa","seen_macro_f1","seen_miou","temperature","calibration_n","calibration_nll_before","calibration_nll_after","test_labels_read_during_fit","uses_source_alignment","uses_oos_structure","error","runtime_sec","retained_mb","sampled_peak_rss_mb","fold","test_block","calibration_block","seed","labels_per_class","calibration_per_class","max_fit_rows"
"target_centroid","ok","direct scaled target features",750,76,28,16151,19,4,0,0.460838338183394,0.461774116169075,0.334294217484968,0,0.142239048140414,0.278506792270528,0.460838338183394,0.461774116169075,0.334294217484968,6.13169364537703,28,3.36208832923823,1.27541281068286,FALSE,FALSE,FALSE,NA,0.295,0,443.671875,1,7,9,5107,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,76,28,16151,19,4,0,0.525911708253359,0.46487231793897,0.349164740700248,0,0.288803709625926,0.0819305883434629,0.525911708253359,0.46487231793897,0.349164740700248,4.17536956082188,28,2.56002161059796,1.61651737404059,FALSE,FALSE,TRUE,NA,1.387,0.00914764404296875,580.015625,1,7,9,5107,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,76,28,16151,20,4,0,0.714073431985636,0.638186444172411,0.56349459825193,0,0.313166801834535,0.501452269074319,0.714073431985636,0.638186444172411,0.56349459825193,0.534659115087539,28,1.2987051253277,1.07785990266894,FALSE,TRUE,FALSE,NA,1.485,2.54663848876953,651.34375,1,7,9,5107,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,76,28,16151,20,4,0,0.648318989536252,0.595758869406651,0.509609412029535,0,0.284206395162777,0.483756620538241,0.648318989536252,0.595758869406651,0.509609412029535,0.471311598999469,28,1.47079603027772,1.14409616720463,FALSE,TRUE,TRUE,NA,2.223,2.54663848876953,716.65625,1,7,9,5107,4,4,750
"lema","ok","direct learned low-modality linear projection",750,76,28,16151,19,4,0,0.320289765339607,0.265173944294565,0.170113540790535,0.710691823899371,0.160132815931002,0.259824222136447,0.320289765339607,0.265173944294565,0.170113540790535,0.0500734960931034,28,2.60329489333323,0.696139669760838,FALSE,TRUE,FALSE,NA,2.244,10.6338500976562,912.40625,1,7,9,5107,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,76,28,16151,19,4,0,0.0114543991084143,0.249326145552561,0.248655913978495,0,0.0960419151514609,0.115373968715783,0.0114543991084143,0.249326145552561,0.248655913978495,1.22534210784426,28,2.37372046782583,2.36739927263495,FALSE,TRUE,FALSE,NA,0.824999999999999,0.164329528808594,524.90625,1,7,9,5107,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.016,NA,503.5625,1,7,9,5107,4,4,750
"target_centroid","ok","direct scaled target features",750,76,12,4721,19,7,0,0.49989409023512,0.619737170170612,0.516140202875411,0.457142857142857,0.31849506973412,0.428607451474391,0.49989409023512,0.619737170170612,0.516140202875411,11.7122215387642,12,9.38050395369892,2.27870012786072,FALSE,FALSE,FALSE,NA,0.0910000000000011,0,226.5625,2,9,10,5109,4,4,750
"target_structured","ok","target-only bounded feature/position/attribute smoothing (0.50/0.25/0.25)",750,76,12,4721,19,7,0,0.38826519805126,0.466759349653002,0.339011441401686,0.571428571428571,0.260787131605496,0.239897337534802,0.38826519805126,0.466759349653002,0.339011441401686,10.7227703935078,12,6.75141632758244,2.47806991243813,FALSE,FALSE,TRUE,NA,0.391999999999996,0.00914764404296875,365.765625,2,9,10,5109,4,4,750
"rapid_ma_semisup","ok","bounded target-feature interpolation of relation-teacher state",750,76,12,4721,20,7,0,0.703240838805338,0.694342492528463,0.596884632514074,0.571428571428571,0.223125940118605,0.325083893099998,0.703240838805338,0.694342492528463,0.596884632514074,0.707436684498666,12,2.0131879594006,1.93061225030176,FALSE,TRUE,FALSE,NA,1.092,2.52201843261719,636.78125,2,9,10,5109,4,4,750
"rapid_ma_structured","ok","bounded feature/position/attribute interpolation of relation-teacher state (0.50/0.25/0.25)",750,76,12,4721,20,7,0,0.560050836687143,0.609105959706922,0.508150322562827,0.571428571428571,0.18504971170671,0.282824094959942,0.560050836687143,0.609105959706922,0.508150322562827,0.730829230713751,12,2.28507559118346,2.23454554441811,FALSE,TRUE,TRUE,NA,1.259,2.52201843261719,649.640625,2,9,10,5109,4,4,750
"lema","ok","direct learned low-modality linear projection",750,76,12,4721,19,7,0,0.82906163948316,0.788148728381678,0.736854138183286,1,0.292953907052156,0.754995894158706,0.82906163948316,0.788148728381678,0.736854138183286,0.0500734960931034,12,2.60959911004464,0.694857542674985,FALSE,TRUE,FALSE,NA,1.938,10.6338500976562,911.265625,2,9,10,5109,4,4,750
"ssma","ok","bounded target-feature interpolation of training embedding",750,76,12,4721,19,7,0,0.289769116712561,0.382671265714111,0.326098211269884,0.571428571428571,0.218492200670005,0.0655599882804536,0.289769116712561,0.382671265714111,0.326098211269884,9.10323802464134,12,3.27640298929441,2.93399995394721,FALSE,TRUE,FALSE,NA,0.393999999999998,0.164329528808594,414.96875,2,9,10,5109,4,4,750
"kema","failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,"method exceeded isolated 30 second timeout",30.022,NA,471.1875,2,9,10,5109,4,4,750
