"seed","method","status","assignment_mode","uses_alignment","uses_position","fit_runtime_sec","match_runtime_sec","matcher_retained_mb","hits1","matched_hits1","mrr","coverage","candidate_edges","candidate_cap","dense_pairwise_allocated","correspondence_read_during_fit_or_match","error"
7201,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.924,0.258,0.01861572265625,0.0366666666666667,0.054726368159204,0.0366666666666667,0.67,9600,32,FALSE,FALSE,NA
7201,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.924,0.332,0.0191726684570312,0.153333333333333,0.166666666666667,0.153333333333333,0.92,9600,32,FALSE,FALSE,NA
7201,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.924,0.247999999999999,0.0199050903320312,0.143333333333333,0.143333333333333,0.143333333333333,1,9600,32,FALSE,FALSE,NA
7201,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.924,NA,NA,0.00666666666666667,0.00666666666666667,0.0484635503065169,1,30000,100,FALSE,FALSE,NA
7201,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.463,NA,NA,0,0,0.00313682297410804,0.04,30000,100,FALSE,TRUE,NA
7201,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.126,NA,NA,0.00333333333333333,0.00333333333333333,0.0133380835332515,1,30000,100,FALSE,FALSE,NA
7201,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.166,NA,NA,0.00666666666666667,0.00666666666666667,0.0317532713808331,1,30000,100,FALSE,FALSE,NA
7201,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.112,NA,NA,0.01,0.01,0.0377397959454416,1,30000,100,FALSE,FALSE,NA
7201,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000067,NA,0.21,0.21,0.379276754957015,1,30000,100,FALSE,FALSE,NA
7202,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.505,0.241,0.0186233520507812,0.03,0.0436893203883495,0.03,0.686666666666667,9600,32,FALSE,FALSE,NA
7202,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.505,0.239,0.0190887451171875,0.136666666666667,0.156488549618321,0.136666666666667,0.873333333333333,9600,32,FALSE,FALSE,NA
7202,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.505,0.244999999999999,0.0197677612304688,0.19,0.19,0.19,1,9600,32,FALSE,FALSE,NA
7202,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.505,NA,NA,0.00666666666666667,0.00666666666666667,0.045086751716071,1,30000,100,FALSE,FALSE,NA
7202,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.473,NA,NA,0,0,0.00288707880813144,0.04,30000,100,FALSE,TRUE,NA
7202,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.105,NA,NA,0.00333333333333333,0.00333333333333333,0.0134414029516358,1,30000,100,FALSE,FALSE,NA
7202,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0840000000000005,NA,NA,0.00333333333333333,0.00333333333333333,0.0271054525818671,1,30000,100,FALSE,FALSE,NA
7202,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.149999999999999,NA,NA,0,0,0.00491543958105493,1,30000,100,FALSE,FALSE,NA
7202,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000067,NA,0.22,0.22,0.380016856367269,1,30000,100,FALSE,FALSE,NA
7203,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.356,0.246,0.018646240234375,0.0333333333333333,0.0478468899521531,0.0333333333333333,0.696666666666667,9600,32,FALSE,FALSE,NA
7203,"rapid_multiview_one_to_one","ok","one_to_one",TRUE,TRUE,0.356,0.241,0.0191192626953125,0.183333333333333,0.205992509363296,0.183333333333333,0.89,9600,32,FALSE,FALSE,NA
7203,"rapid_multiview_independent","ok","independent",TRUE,TRUE,0.356,0.244999999999999,0.0200347900390625,0.156666666666667,0.156666666666667,0.156666666666667,1,9600,32,FALSE,FALSE,NA
7203,"rapid_ma_semisup_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.356,NA,NA,0.02,0.02,0.0610203504767021,1,30000,100,FALSE,FALSE,NA
7203,"lema_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.331000000000001,NA,NA,0,0,0.00202799390438279,0.04,30000,100,FALSE,TRUE,NA
7203,"ssma_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0220000000000002,NA,NA,0,0,0.00870944321442189,1,30000,100,FALSE,FALSE,NA
7203,"spectral_mnn_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0439999999999987,NA,NA,0.00333333333333333,0.00333333333333333,0.0317418573255524,1,30000,100,FALSE,FALSE,NA
7203,"token_ot_embedding","ok","independent ranked retrieval",TRUE,FALSE,0.0469999999999988,NA,NA,0.00666666666666667,0.00666666666666667,0.0387843796176804,1,30000,100,FALSE,FALSE,NA
7203,"position_knn_diagnostic","ok","independent ranked retrieval",FALSE,TRUE,0,0.00200000000000067,NA,0.186666666666667,0.186666666666667,0.351574144639371,1,30000,100,FALSE,FALSE,NA
7204,"rapid_prototype_one_to_one","ok","one_to_one",TRUE,FALSE,0.344999999999999,0.238999999999999,0.0185470581054688,0.0366666666666667,0.0601092896174863,0.0366666666666667,0.61,9600,32,FALSE,FALSE,NA
